Title,Artist,Album Cover URL,Slug,Song Link
Which One (feat. Central Cee),"Drake, Central Cee",https://i.scdn.co/image/ab67616d0000b273bdeb7f4070ea355c2896cd99,which-one-feat-central-cee,https://open.spotify.com/track/1LVRE2ZRLNGdjCFmOa9kJa
MUTT,Leon Thomas,https://i.scdn.co/image/ab67616d0000b27382a5b97ffaf87e21ce6fdf4a,mutt,https://open.spotify.com/track/1mh9eHVRdNhzryG43PXdW1
Used to Me,Luke Chiang,https://i.scdn.co/image/ab67616d0000b273b359946ae6cfc81a288c4dbf,used-to-me,https://open.spotify.com/track/5NF5TV9zGZ9QLKLf7Oq05T
Location,Playboi Carti,https://i.scdn.co/image/ab67616d0000b273e31a279d267f3b3d8912e6f1,location,https://open.spotify.com/track/3yk7PJnryiJ8mAPqsrujzf
Taking What's Not Yours,TV Girl,https://i.scdn.co/image/ab67616d0000b27332f5fec7a879ed6ef28f0dfd,taking-what-s-not-yours,https://open.spotify.com/track/53mChDyESfwn9Dz8poHRf6
Lejos de Ti,The Marías,https://i.scdn.co/image/ab67616d0000b2738aa339341a0b0c813909c831,lejos-de-ti,https://open.spotify.com/track/0phzfJn8NeT1LkbqfV2peI
Heaven Can Wait,Michael Jackson,https://i.scdn.co/image/ab67616d0000b27376bfd700e0c47fae7f2c7b75,heaven-can-wait,https://open.spotify.com/track/1AZXNAVDD9ZFIEKySgflFz
See You Again (feat. Kali Uchis),"Tyler, The Creator, Kali Uchis",https://i.scdn.co/image/ab67616d0000b2738940ac99f49e44f59e6f7fb3,see-you-again-feat-kali-uchis,https://open.spotify.com/track/7KA4W4McWYRpgf0fWsJZWB
Alright,Kendrick Lamar,https://i.scdn.co/image/ab67616d0000b273cdb645498cd3d8a2db4d05e1,alright,https://open.spotify.com/track/3iVcZ5G6tvkXZkZKlMpIUs
Always,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b2737c68face1dc58127f3a7b1cc,always,https://open.spotify.com/track/2LlOeW5rVcvl3QcPNPcDus
Unstoppable,Daniel Caesar,https://i.scdn.co/image/ab67616d0000b273e242f18dafe885fcf425fe1f,unstoppable,https://open.spotify.com/track/7tyYT0hZoSP8mwOlO5CxJi
Vampire,Dominic Fike,https://i.scdn.co/image/ab67616d0000b2738c7e2ab6558632be78a244c2,vampire,https://open.spotify.com/track/0SRPuTnr5QOKRoIxMvvlgK
Pink + White,Frank Ocean,https://i.scdn.co/image/ab67616d0000b273c5649add07ed3720be9d5526,pink-white,https://open.spotify.com/track/3xKsf9qdS1CyvXSMEid6g8
ORANGE SODA,Baby Keem,https://i.scdn.co/image/ab67616d0000b273683757f1fd40a7f7ef64bec1,orange-soda,https://open.spotify.com/track/5FkoSXiJPKTNyYgALRJFhD
When The Sun Goes Down,Arctic Monkeys,https://i.scdn.co/image/ab67616d0000b2736b3fa88bdd4af566fbbf2bbf,when-the-sun-goes-down,https://open.spotify.com/track/2zzLRQ78kKfPTx8FJQCdC2
l e t . g o . m y . h a n d (with Bas & 6LACK),"J. Cole, Bas, 6LACK",https://i.scdn.co/image/ab67616d0000b27310e6745bb2f179dd3616b85f,l-e-t-g-o-m-y-h-a-n-d-with-bas-6lack,https://open.spotify.com/track/0GAyuCo975IHGxxiLKDufB
